,Filename,firing rate,ifr_mean,ifr_skew,ifr_kurtosis,ifr_fano_factor,baseline_amplitude,peak_trough_amplitude,ISI_mean,ISI_skew,ISI_kurtosis,ISI_cv,num_bursts,mean_surprise,burst_index,mean_burst_duration,var_burst_duration,mean_interburst_duration,var_interburst_duration,max_peak_freq,delta_band,theta_band,alpha_band,beta_band,gamma_band,delta_band_freq,theta_band_freq,delta_band_magnitude,theta_band_magnitude
223,neuron_300.smr,89.49988067,89.30116473,0.271367605,-0.674146449,9.228740249,1.510871196,2.006404031,0.011170346,2.349110658,6.705278338,0.865482088,390,33.79198819,0.43575419,0.00719241,1.88E-06,0.069368201,0.014295097,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.078875046,0.038241869
224,neuron_116.smr,89.24821504,88.02469136,-0.871085769,0.284103601,11.70882898,0.130659002,0.18104019,0.011059551,9.521090031,128.2861972,0.864949818,1,33.68635994,0.008403361,0.01032,0,,,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.074764273,0.022555936
225,neuron_102.smr,131.3294924,131.2307692,-0.02373328,0.948548843,6.773473498,0.490782944,0.828110233,0.007613277,3.391757266,29.41064232,0.485696337,57,51.4587383,0.019082692,0.006755088,2.15E-07,1.138071429,3.649169904,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.088855386,0.029113794
226,neuron_114.smr,34.47697157,34.09090909,-0.279028238,-0.906193782,10.62909091,0.137277087,0.240627067,0.028681702,4.691689191,28.47742716,1.164623157,5,11.13872242,0.079365079,0.026032,2.47E-06,1.10686,0.567284116,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.091272924,0.025583823
227,neuron_100.smr,29.11507834,29.08388521,0.538274902,0.663763057,4.354444961,0.436043899,0.719444263,0.034334943,1.046416901,1.790228674,0.512316081,30,9.030315225,0.068285281,0.023672,2.95E-05,1.320891034,4.127145451,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.08529272,0.033069787
228,neuron_128.smr,42.61660874,42.51592357,0.448999327,0.453479945,13.56647344,1.942475644,2.632358574,0.023287556,3.126394422,13.74459577,1.097701175,91,14.3975726,0.408682635,0.01392,1.03E-05,0.121364667,0.025952762,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.081297344,0.024749862
229,neuron_316.smr,21.67208771,21.58371041,-0.190592875,-0.597295089,6.319853534,0.711284609,0.914209597,0.046177059,3.894346601,19.63410116,0.840159454,9,6.182517106,0.112970711,0.039658889,3.56E-06,0.76150375,0.3001432,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.082396879,0.023868124
230,neuron_302.smr,37.30043388,37.01754386,0.297915791,-0.360378591,8.906626756,1.022282922,1.203670862,0.026749621,2.137639144,5.418810621,0.911800655,16,12.26238221,0.226415094,0.016673125,1.42E-05,0.325593333,0.160744307,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.090956544,0.035498712
231,neuron_289.smr,59.93325342,59.73421927,-0.239142295,-0.797933239,14.75966282,0.625015479,0.807152261,0.016586102,4.631276281,27.91531218,1.035931806,29,21.47382893,0.096774194,0.01349069,2.80E-06,0.478725,0.52177928,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.049173535,0.017353179
232,neuron_262.smr,52.1978022,52.09150327,0.081469188,-0.125462146,8.021420195,1.254288901,1.815124359,0.019066524,2.088951117,5.954206507,0.872634255,71,18.29441206,0.266917293,0.011957183,8.28E-06,0.195213,0.051806536,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.088871979,0.031774279
