,Filename,firing rate,ifr_mean,ifr_skew,ifr_kurtosis,ifr_fano_factor,ISI_mean,ISI_skew,ISI_kurtosis,ISI_cv,num_bursts,mean_surprise,burst_index,mean_burst_duration,var_burst_duration,mean_interburst_duration,var_interburst_duration,max_peak_freq,delta_band,theta_band,alpha_band,beta_band,gamma_band
124,neuron_323.smr,85.45160869281472,84.67005076142132,0.05481802441705911,-0.24399802534481507,13.363522380065492,0.011684898446833928,3.248245600313701,15.421518185352657,0.8570639784240455,40,32.09415264623642,1.2840547743773396,0.008097249999999969,1.6665849375000242e-06,0.23963871794871794,0.09476841198553583,2.9696969696969697,1,1,0,0,0
125,neuron_280.smr,15.431341053680024,15.25,1.316773087115856,1.6763872189337539,18.15983606557377,0.0650656862745098,3.6264253145979106,20.01715475778971,1.472252507437574,0,,2.5963961003394997,,,,,4.424242424242425,1,1,0,0,0
126,neuron_294.smr,22.02072453458144,21.907894736842106,0.6131175557840166,0.27561760492504606,10.464477635530267,0.04545711711711711,1.9435115987164862,4.803882481429575,1.0559740711731151,40,6.313135590665429,1.4894206132737757,0.020681500000000134,6.585378275000088e-05,0.3356643589743588,0.06793855482458913,2.484848484848485,1,1,1,0,0
127,neuron_243.smr,92.5925925925926,91.20967741935483,0.09605736940726271,-0.02096061054102405,13.520649724765411,0.010746572934973636,2.371793327292925,8.010531018326379,0.7165837945089635,36,35.09087454492336,1.2496015040667103,0.008216666666666626,8.89722222222157e-07,0.1617114285714286,0.07277476158367344,2.9696969696969697,1,1,0,0,0
128,neuron_257.smr,58.9000317909887,58.674351585014406,0.23875318633969508,-0.5022795715382857,12.494607157618207,0.01691641453831041,2.4194615213724577,7.654763777411388,0.99384639488849,126,21.047763453550026,1.56416223192887,0.010633333333333333,5.629277777777741e-06,0.12203744,0.0276410777246464,2.9696969696969697,1,1,0,0,0
129,neuron_082.smr,11.286244969559387,11.229946524064172,1.014145497144677,0.42784435459838965,11.436720142602494,0.0875423076923077,2.3080597119604644,6.439395661232464,1.120016046896813,0,,1.6693803907762776,,,,,2.484848484848485,1,1,0,1,1
130,neuron_096.smr,35.053369544621994,35.026315789473685,0.7477913661979728,0.1493189264690744,20.428229665071772,0.02821714285714285,6.05902328097523,56.91999561846037,1.521596501198274,90,11.36744690166216,1.8466716529542992,0.016243555555555685,2.2993338469135926e-05,0.1639173033707864,0.09600198593430125,2.9696969696969697,1,1,0,0,0
131,neuron_041.smr,14.370284234311615,14.180327868852459,0.20059866674991328,-0.6566030528713402,7.149151899933668,0.06867999999999999,2.819014378718684,8.916774212933626,0.9081373130565498,0,,1.3925385239253842,,,,,2.484848484848485,1,1,0,0,1
132,neuron_055.smr,14.124656514034774,14.08,0.1320331394883601,-0.40390215261194706,5.124545454545454,0.07002879999999999,2.4301771356290356,7.224246674073996,0.6728098457403616,0,,1.2242797202797218,,,,,2.484848484848485,1,0,0,1,1
133,neuron_069.smr,89.81303098253483,89.63815789473684,-0.010197104628313303,-0.10144224242412125,11.08477788507967,0.011124692082111436,4.851573677585477,53.44902203825574,0.8779106222192997,81,33.923436949885165,1.3566697661112266,0.008305185185185231,1.1992669410151519e-06,0.1790029999999999,0.11035908607099995,2.9696969696969697,1,1,0,0,0
